GoeID_Origin,GeoID_Destination,TransitTime (minutes),DriveDistance (miles),DriveTime (minutes),EclDistance(miles)
14000US24510271102,14000US24510250401,245.6258791,12.28129396,33.74143642,7.194451419
14000US24510260604,14000US24510272005,245.1295506,12.25647753,33.13346118,10.56323356
14000US24510250402,14000US24510120201,244.8758134,12.24379067,33.7853257,6.742404478
14000US24510250500,14000US24510070100,244.7126219,12.23563109,33.07853342,4.686756701
14000US24510151000,14000US24510260501,244.5939979,12.22969989,34.329544,8.225535128
14000US24510250500,14000US24510261100,244.0681014,12.20340507,34.82447323,3.633308475
14000US24510280302,14000US24510250401,244.0577694,12.20288847,34.23645155,7.258674731
14000US24510272007,14000US24510260605,243.8775997,12.19387998,33.15512651,10.50435988
14000US24510261000,14000US24510250500,243.5794944,12.17897472,34.43190731,4.301636627
14000US24510280301,14000US24510250401,243.5014847,12.17507424,32.0200699,6.994818921
14000US24510250401,14000US24510280302,243.4844445,12.17422223,34.04431772,7.258674731
14000US24510280401,14000US24510250401,243.4466712,12.17233356,34.18212594,6.552181108
14000US24510080400,14000US24510250500,243.2524047,12.16262023,34.59510328,5.098775182
14000US24510260501,14000US24510151000,243.2199082,12.16099541,33.53327838,8.225535128
14000US24510250402,14000US24510090400,243.0510509,12.15255255,33.89787466,6.355762816
14000US24510080600,14000US24510250500,242.9830312,12.14915156,33.81773759,5.448147892
14000US24510250500,14000US24510060100,242.9143636,12.14571818,34.69134768,4.476634262
14000US24510272004,14000US24510260501,242.8322708,12.14161354,34.02461416,9.709992947
14000US24510250402,14000US24510080200,242.8312797,12.14156398,33.65304689,5.723409352
14000US24510120300,14000US24510250500,242.8071833,12.14035917,33.26428133,6.376037119
14000US24510272007,14000US24510260604,242.5692252,12.12846126,34.12872406,10.59834938
14000US24510090600,14000US24510250401,242.547656,12.1273828,34.35503749,6.12188375
14000US24510130804,14000US24510250401,242.4637678,12.12318839,33.87005133,6.752332837
14000US24510260605,14000US24510272007,242.4035674,12.12017837,32.94225645,10.50435988
14000US24510060100,14000US24510250500,242.3472553,12.11736277,33.91693934,4.476634262
