trip_id,arrival_time,departure_time,stop_id,stop_sequence
38,10:03:56,10:03:56,17,4
38,10:08:53,10:08:53,3,5
38,10:15:10,10:15:10,4,6
38,10:17:40,10:17:40,5,7
38,10:19:34,10:19:34,6,8
38,10:21:51,10:21:51,7,9
38,10:24:08,10:24:08,8,10
38,10:25:42,10:25:42,9,11
38,10:27:30,10:27:30,10,12
38,10:30:22,10:30:22,11,13
38,10:32:58,10:32:58,12,14
38,10:35:46,10:35:46,18,15
38,10:37:52,10:37:52,13,16
38,10:40:28,10:40:28,14,17
38,10:44:31,10:44:31,16,18
38,10:46:15,10:46:15,15,19
39,10:04:00,10:04:00,0,1
39,10:05:57,10:05:57,1,2
39,10:09:33,10:09:33,2,3
39,10:11:56,10:11:56,17,4
39,10:16:53,10:16:53,3,5
39,10:23:10,10:23:10,4,6
39,10:25:40,10:25:40,5,7
39,10:27:34,10:27:34,6,8
39,10:29:51,10:29:51,7,9
39,10:32:08,10:32:08,8,10
39,10:33:42,10:33:42,9,11
39,10:35:30,10:35:30,10,12
39,10:38:22,10:38:22,11,13
39,10:40:58,10:40:58,12,14
39,10:43:46,10:43:46,18,15
39,10:45:52,10:45:52,13,16
39,10:48:28,10:48:28,14,17
39,10:52:31,10:52:31,16,18
39,10:54:15,10:54:15,15,19
40,10:12:00,10:12:00,0,1
40,10:13:57,10:13:57,1,2
40,10:17:33,10:17:33,2,3
40,10:19:56,10:19:56,17,4
40,10:24:53,10:24:53,3,5
40,10:31:10,10:31:10,4,6
40,10:33:40,10:33:40,5,7
40,10:35:34,10:35:34,6,8
40,10:37:51,10:37:51,7,9
40,10:40:08,10:40:08,8,10
40,10:41:42,10:41:42,9,11
40,10:43:30,10:43:30,10,12
40,10:46:22,10:46:22,11,13
40,10:48:58,10:48:58,12,14
40,10:51:46,10:51:46,18,15
40,10:53:52,10:53:52,13,16
40,10:56:28,10:56:28,14,17
40,11:00:31,11:00:31,16,18
40,11:02:15,11:02:15,15,19
41,10:20:00,10:20:00,0,1
41,10:21:57,10:21:57,1,2
41,10:25:33,10:25:33,2,3
41,10:27:56,10:27:56,17,4
41,10:32:53,10:32:53,3,5
41,10:39:10,10:39:10,4,6
41,10:41:40,10:41:40,5,7
41,10:43:34,10:43:34,6,8
